Rythme machine : 20 respiration / min
Rythme inspiration spontanée : 12 respiration / min

temps (ms), commande pression (mmH2O), pression mesurée(mmH2O)
28720,100,97
28730,100,98
28740,100,98
28750,100,98
28760,100,97
28770,100,97
28780,100,97
28790,100,95
28800,100,96
28810,100,94
28820,100,96
28830,100,95
28840,100,96
28850,100,97
28860,100,96
28870,100,96
28880,100,96
28890,100,96
28900,100,96
28910,100,96
28920,100,97
28930,100,97
28940,100,97
28950,100,95
28960,100,95
28970,100,96
28980,100,96
28990,100,97
29000,100,96
29010,100,97
29020,100,95
29030,100,95
29040,100,96
29050,100,96
29060,100,96
29070,100,95
29080,100,96
29090,100,95
29100,100,96
29110,100,96
29120,100,95
29130,100,96
29140,100,96
29150,100,96
29160,270,95
29170,270,96
29180,270,96
29190,270,96
29200,270,97
29210,270,98
29220,270,99
29230,270,98
29240,270,98
29250,270,99
29260,270,99
29270,270,98
29280,270,98
29290,270,98
29300,270,98
29310,270,98
29320,270,98
29330,270,102
29340,270,119
29350,270,134
29360,270,144
29370,270,169
29380,270,166
29390,270,189
29400,270,181
29410,270,199
29420,270,198
29430,270,210
29440,270,223
29450,270,220
29460,270,212
29470,270,228
29480,270,225
29490,270,227
29500,270,227
29510,270,228
29520,270,231
29530,270,234
29540,270,232
29550,270,241
29560,270,241
29570,270,244
29580,270,246
29590,270,248
29600,270,245
29610,270,244
29620,270,251
29630,270,248
29640,270,252
29650,250,262
29660,250,257
29670,250,249
29680,250,264
29690,250,259
29700,250,273
29710,250,262
29720,250,271
29730,250,265
29740,250,271
29750,250,263
29760,250,266
29770,250,263
29780,250,253
29790,250,253
29800,250,244
29810,250,236
29820,250,228
29830,250,224
29840,250,218
29850,250,210
29860,250,212
29870,250,208
29880,250,210
29890,250,209
29900,250,211
29910,250,212
29920,250,212
29930,250,212
29940,250,212
29950,250,212
29960,250,212
29970,250,212
29980,250,212
29990,250,212
30000,250,213
30010,250,212
30020,250,212
30030,250,212
30040,250,212
30050,250,212
30060,250,212
30070,250,212
30080,250,212
30090,250,212
30100,250,212
30110,250,212
30120,250,212
30130,250,212
30140,250,212
30150,250,212
30160,100,212
30170,100,212
30180,100,212
30190,100,212
30200,100,213
30210,100,212
30220,100,212
30230,100,212
30240,100,212
30250,100,212
30260,100,212
30270,100,212
30280,100,212
30290,100,212
30300,100,212
30310,100,212
30320,100,211
30330,100,213
30340,100,204
30350,100,184
30360,100,181
30370,100,161
30380,100,162
30390,100,150
30400,100,149
30410,100,145
30420,100,145
30430,100,142
30440,100,144
30450,100,142
30460,100,141
30470,100,145
30480,100,144
30490,100,143
30500,100,144
30510,100,141
30520,100,141
30530,100,140
30540,100,139
30550,100,140
30560,100,136
30570,100,139
30580,100,133
30590,100,137
30600,100,134
30610,100,135
30620,100,132
30630,100,133
30640,100,130
30650,100,132
30660,100,129
30670,100,131
30680,100,130
30690,100,128
30700,100,129
30710,100,127
30720,100,127
30730,100,127
30740,100,127
